UserID,SignupDate,Churn_Score,Score_Bucket,Churn_Segment,Recommended_Action
200008,2024-08-15,0.99,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200184,2024-10-02,0.99,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200153,2024-09-10,0.99,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200039,2026-02-28,0.9893,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200145,2025-11-22,0.9866,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200054,2024-09-04,0.9817,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200193,2025-02-07,0.9813,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200081,2026-04-17,0.9706,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200185,2025-02-28,0.9599,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200169,2024-09-10,0.9532,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200009,2025-02-21,0.953,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200132,2026-04-15,0.9527,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200034,2025-09-02,0.9526,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200071,2025-12-31,0.9451,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200197,2025-06-12,0.9282,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200174,2025-01-04,0.9237,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200079,2025-02-11,0.9205,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200059,2025-11-13,0.9202,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200029,2025-08-29,0.9192,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200004,2025-08-23,0.9091,0.80 - 1.00,Price Sensitive,Send discount or promotional wallet offer
200124,2025-03-20,0.9061,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200166,2026-05-07,0.8981,0.80 - 1.00,Price Sensitive,Send discount or promotional wallet offer
200176,2026-05-03,0.8963,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200078,2025-03-31,0.8956,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200005,2024-12-18,0.8858,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200168,2024-11-16,0.88,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200191,2025-05-15,0.8766,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200159,2024-08-08,0.8659,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200040,2026-01-02,0.8631,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200141,2024-11-30,0.859,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200077,2025-05-14,0.8547,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200151,2025-06-01,0.8544,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200190,2024-07-13,0.8472,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200018,2024-12-05,0.8413,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200002,2026-01-22,0.8404,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200189,2025-09-11,0.8404,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200178,2026-02-28,0.8377,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200001,2025-01-15,0.8342,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200154,2024-08-22,0.834,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200015,2026-03-08,0.8278,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200172,2026-03-27,0.8278,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200152,2026-02-10,0.8271,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200181,2024-12-17,0.818,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200108,2024-07-27,0.8155,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200087,2026-05-04,0.8146,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200133,2026-02-11,0.8112,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200024,2024-06-22,0.8087,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200109,2024-10-31,0.8071,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200014,2026-01-06,0.8064,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200150,2024-08-22,0.8053,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200139,2024-07-28,0.7923,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200025,2026-04-17,0.7923,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200036,2026-04-19,0.7904,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200162,2025-06-10,0.7885,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200142,2025-07-21,0.782,0.60 - 0.80,General Risk,Send generic retention reminder
200130,2024-10-20,0.7785,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200140,2026-04-02,0.7776,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200111,2026-02-22,0.7766,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200026,2025-07-02,0.776,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200084,2026-01-17,0.7753,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200075,2025-04-30,0.7747,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200117,2025-04-05,0.7715,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200086,2025-04-20,0.7665,0.60 - 0.80,General Risk,Send generic retention reminder
200031,2025-12-31,0.7609,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200126,2026-01-26,0.7599,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200096,2025-10-20,0.7556,0.60 - 0.80,General Risk,Send generic retention reminder
200165,2026-04-09,0.7526,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200055,2026-04-22,0.7485,0.60 - 0.80,General Risk,Send generic retention reminder
200043,2025-05-15,0.7484,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200038,2026-03-02,0.747,0.60 - 0.80,Value Skeptic,Send free consultation offer or value proof campaign
200177,2025-05-05,0.7441,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200158,2025-06-13,0.7416,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200076,2025-06-05,0.7413,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200106,2025-04-28,0.7408,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200062,2026-01-06,0.7371,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200188,2025-05-10,0.7354,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200061,2025-05-13,0.7343,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200114,2025-12-16,0.733,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200012,2026-04-20,0.7322,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200064,2026-04-28,0.7313,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200103,2026-03-14,0.7306,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200136,2025-08-30,0.7285,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200192,2024-07-14,0.7269,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200083,2025-08-05,0.7261,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200060,2025-08-31,0.726,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200088,2025-07-30,0.7226,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200128,2025-12-14,0.7218,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200161,2025-06-03,0.7205,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200089,2025-02-13,0.7189,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200164,2025-08-14,0.7123,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200092,2026-02-15,0.7121,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200063,2026-01-28,0.7102,0.60 - 0.80,General Risk,Send generic retention reminder
200022,2025-09-17,0.703,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200057,2025-07-25,0.7018,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200104,2024-10-31,0.7018,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200066,2024-10-30,0.6981,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200080,2025-02-16,0.6979,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200099,2026-03-23,0.6974,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200020,2025-07-08,0.6971,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200110,2026-03-03,0.6916,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200035,2025-01-26,0.6867,0.60 - 0.80,Value Skeptic,Send free consultation offer or value proof campaign
200146,2025-05-01,0.6822,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200131,2024-09-04,0.6784,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200187,2025-03-02,0.677,0.60 - 0.80,Value Skeptic,Send free consultation offer or value proof campaign
200116,2025-02-02,0.6767,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200119,2024-06-22,0.6764,0.60 - 0.80,General Risk,Send generic retention reminder
200129,2025-11-30,0.6759,0.60 - 0.80,Value Skeptic,Send free consultation offer or value proof campaign
200000,2026-05-07,0.6758,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200148,2024-09-22,0.6746,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200093,2025-01-26,0.6703,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200195,2026-01-21,0.6614,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200065,2025-05-02,0.6598,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200171,2026-02-13,0.6573,0.60 - 0.80,Price Sensitive,Send discount or promotional wallet offer
200173,2026-04-21,0.657,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200182,2024-06-17,0.6565,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200003,2024-07-02,0.6527,0.60 - 0.80,General Risk,Send generic retention reminder
200033,2026-05-09,0.6486,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200067,2025-11-25,0.6377,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200122,2024-09-24,0.6355,0.60 - 0.80,General Risk,Send generic retention reminder
200048,2025-01-20,0.6349,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200175,2025-12-03,0.6296,0.60 - 0.80,General Risk,Send generic retention reminder
200112,2025-07-13,0.6293,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200011,2025-04-03,0.6271,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200068,2024-06-28,0.6259,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200198,2024-09-22,0.6257,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200045,2025-12-26,0.6187,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200167,2024-11-10,0.6165,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200107,2024-07-07,0.609,0.60 - 0.80,Value Skeptic,Send free consultation offer or value proof campaign
200052,2026-04-26,0.6075,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200100,2024-10-21,0.6062,0.60 - 0.80,Value Skeptic,Send free consultation offer or value proof campaign
200180,2025-12-02,0.6017,0.60 - 0.80,General Risk,Send generic retention reminder
200186,2024-10-04,0.5997,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200094,2024-06-29,0.5974,0.40 - 0.60,Feature/Tech Frustrated,Send support or bug-fix communication
200091,2025-08-08,0.5941,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200121,2024-09-02,0.5903,0.40 - 0.60,General Risk,Send generic retention reminder
200053,2025-01-21,0.5859,0.40 - 0.60,Feature/Tech Frustrated,Send support or bug-fix communication
200118,2024-08-16,0.5859,0.40 - 0.60,Feature/Tech Frustrated,Send support or bug-fix communication
200023,2026-01-31,0.5836,0.40 - 0.60,General Risk,Send generic retention reminder
200027,2025-03-14,0.5776,0.40 - 0.60,General Risk,Send generic retention reminder
200199,2025-03-10,0.5775,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200037,2025-03-12,0.5753,0.40 - 0.60,General Risk,Send generic retention reminder
200007,2025-05-29,0.575,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200049,2024-12-01,0.5745,0.40 - 0.60,Feature/Tech Frustrated,Send support or bug-fix communication
200135,2024-09-03,0.5667,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200194,2026-03-23,0.5656,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200046,2024-09-06,0.5567,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200105,2026-04-23,0.5552,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200102,2026-01-13,0.5529,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200042,2024-10-27,0.5496,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200051,2024-10-09,0.5495,0.40 - 0.60,General Risk,Send generic retention reminder
200179,2025-01-17,0.5447,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200072,2024-06-17,0.5436,0.40 - 0.60,General Risk,Send generic retention reminder
200098,2025-04-06,0.54,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200032,2025-06-28,0.54,0.40 - 0.60,General Risk,Send generic retention reminder
200044,2025-11-28,0.5372,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200050,2025-09-03,0.5342,0.40 - 0.60,Feature/Tech Frustrated,Send support or bug-fix communication
200073,2025-09-05,0.5291,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200016,2025-01-22,0.522,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200028,2026-01-22,0.5158,0.40 - 0.60,General Risk,Send generic retention reminder
200013,2026-03-06,0.5076,0.40 - 0.60,Feature/Tech Frustrated,Send support or bug-fix communication
200095,2025-06-20,0.4982,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200143,2025-10-03,0.4958,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200113,2024-09-07,0.4949,0.40 - 0.60,General Risk,Send generic retention reminder
200138,2024-12-06,0.4933,0.40 - 0.60,General Risk,Send generic retention reminder
200085,2025-09-17,0.4922,0.40 - 0.60,General Risk,Send generic retention reminder
200123,2025-08-23,0.4912,0.40 - 0.60,General Risk,Send generic retention reminder
200160,2026-03-08,0.4886,0.40 - 0.60,Feature/Tech Frustrated,Send support or bug-fix communication
200097,2026-04-20,0.484,0.40 - 0.60,General Risk,Send generic retention reminder
200010,2025-03-07,0.4733,0.40 - 0.60,General Risk,Send generic retention reminder
200017,2026-02-14,0.468,0.40 - 0.60,General Risk,Send generic retention reminder
200047,2025-01-27,0.4649,0.40 - 0.60,General Risk,Send generic retention reminder
200058,2025-06-29,0.4575,0.40 - 0.60,General Risk,Send generic retention reminder
200120,2026-04-05,0.455,0.40 - 0.60,General Risk,Send generic retention reminder
200147,2026-04-17,0.4407,0.40 - 0.60,General Risk,Send generic retention reminder
200125,2024-06-24,0.44,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200041,2024-11-21,0.4317,0.40 - 0.60,General Risk,Send generic retention reminder
200137,2024-11-17,0.4317,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200082,2025-09-20,0.4313,0.40 - 0.60,General Risk,Send generic retention reminder
200144,2025-10-10,0.4234,0.40 - 0.60,General Risk,Send generic retention reminder
200163,2024-07-11,0.4223,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200157,2025-06-29,0.4153,0.40 - 0.60,Drifting,Send content-based re-engagement campaign
200070,2025-08-30,0.4053,0.40 - 0.60,General Risk,Send generic retention reminder
200196,2026-05-04,0.4035,0.40 - 0.60,General Risk,Send generic retention reminder
200156,2024-12-10,0.3975,0.20 - 0.40,General Risk,Send generic retention reminder
200030,2025-05-04,0.3912,0.20 - 0.40,General Risk,Send generic retention reminder
200155,2024-07-22,0.3847,0.20 - 0.40,General Risk,Send generic retention reminder
200127,2025-11-15,0.3806,0.20 - 0.40,Drifting,Send content-based re-engagement campaign
200074,2025-04-03,0.3619,0.20 - 0.40,General Risk,Send generic retention reminder
200183,2026-03-12,0.3615,0.20 - 0.40,General Risk,Send generic retention reminder
200134,2025-08-05,0.3597,0.20 - 0.40,General Risk,Send generic retention reminder
200069,2025-07-22,0.3511,0.20 - 0.40,General Risk,Send generic retention reminder
200090,2025-05-02,0.3277,0.20 - 0.40,General Risk,Send generic retention reminder
200115,2025-09-26,0.3191,0.20 - 0.40,General Risk,Send generic retention reminder
200056,2025-05-24,0.316,0.20 - 0.40,Drifting,Send content-based re-engagement campaign
200019,2025-10-11,0.2943,0.20 - 0.40,General Risk,Send generic retention reminder
200021,2024-11-04,0.2922,0.20 - 0.40,General Risk,Send generic retention reminder
200149,2024-12-17,0.2799,0.20 - 0.40,General Risk,Send generic retention reminder
200101,2025-10-06,0.2792,0.20 - 0.40,Drifting,Send content-based re-engagement campaign
200170,2024-09-04,0.2678,0.20 - 0.40,General Risk,Send generic retention reminder
200006,2025-04-28,0.1288,0.00 - 0.20,General Risk,Send generic retention reminder
